N,P,K,temperature,humidity,ph,rainfall,label
109.4,81.4,43.7,26.7,73.0,5.99,28.3,banana
132.7,34.1,30.4,26.5,64.9,6.91,61.2,cotton
84.9,50.3,37.5,20.2,92.2,6.51,159.7,jute
21.1,72.6,16.1,17.6,77.0,7.63,52.8,lentil
50.2,65.2,91.9,23.0,14.4,7.86,64.8,chickpea
18.1,18.4,12.6,22.1,94.4,6.59,129.9,orange
76.8,66.9,25.2,24.8,74.1,6.0,201.8,rice
62.1,54.5,36.1,27.0,85.3,7.58,132.6,jute
79.4,30.6,32.4,24.1,62.0,6.66,139.1,maize
37.9,42.5,99.5,19.2,16.1,7.35,90.9,chickpea
21.2,17.9,19.2,35.4,36.6,5.86,124.9,mango
18.1,21.0,41.3,32.0,42.5,6.03,78.7,mango
49.8,48.5,72.9,21.9,17.1,6.96,66.3,chickpea
93.7,48.2,41.0,24.1,79.8,6.48,201.7,rice
35.8,59.4,76.7,23.6,28.4,6.32,92.2,chickpea
19.3,31.2,22.5,29.1,37.5,5.73,145.6,mango
79.4,39.8,29.7,25.8,56.6,7.06,82.4,maize
15.2,113.4,201.0,21.5,76.9,5.77,82.4,grapes
52.6,60.7,69.1,13.5,14.0,6.73,60.3,chickpea
97.6,14.7,61.5,28.1,88.3,6.6,35.5,watermelon
123.5,57.7,24.2,30.0,61.5,6.49,104.5,cotton
90.6,31.5,18.6,24.6,59.1,6.32,184.6,coffee
24.3,16.6,28.9,31.7,61.3,5.58,77.9,mango
90.2,50.5,42.0,26.3,81.3,6.72,231.4,jute
16.4,16.8,12.1,24.9,92.2,7.52,115.8,orange
20.4,133.6,205.0,21.5,83.5,5.57,60.7,grapes
105.4,43.2,28.7,25.7,53.1,7.14,183.0,coffee
124.9,41.5,19.9,28.6,71.1,6.64,73.6,cotton
96.6,18.7,55.3,30.9,84.3,6.02,32.1,watermelon
86.0,61.7,18.8,21.6,57.7,5.7,89.2,maize
25.7,32.5,40.7,36.0,48.5,6.01,84.8,mango
26.5,56.1,17.4,16.0,55.4,7.15,47.9,lentil
76.4,53.7,39.1,21.2,83.9,6.38,189.6,rice
123.0,36.2,22.8,29.8,73.2,7.5,89.2,cotton
18.1,90.3,25.0,22.1,58.6,6.32,46.5,lentil
17.3,15.2,10.7,24.0,93.4,7.37,110.5,orange
95.8,32.0,10.9,23.1,51.7,6.06,60.3,maize
83.3,66.5,48.3,26.6,79.8,6.1,264.1,rice
37.8,72.0,69.5,17.2,14.0,7.04,118.4,chickpea
104.0,18.8,28.7,26.0,65.7,6.58,143.9,coffee
89.5,46.0,23.3,25.8,87.4,6.84,221.7,rice
79.0,43.2,16.4,17.1,54.2,5.82,108.3,maize
103.1,19.4,63.6,26.6,88.9,5.53,61.0,watermelon
16.2,20.1,8.3,19.1,94.9,6.63,118.5,orange
140.0,46.0,19.8,25.7,69.8,6.12,120.4,cotton
114.2,84.6,28.5,29.1,72.1,6.64,77.7,banana
18.8,145.0,205.0,24.3,84.8,5.87,63.0,grapes
23.1,125.4,205.0,20.2,77.2,5.82,68.3,grapes
29.0,8.4,11.0,24.2,92.7,6.88,117.0,orange
38.8,64.4,76.0,18.3,14.0,7.34,86.4,chickpea
94.7,36.8,28.4,23.1,53.3,6.56,40.9,maize
14.6,20.0,10.6,25.3,97.4,6.88,108.6,orange
110.4,79.8,58.1,26.6,76.4,5.79,66.9,banana
84.7,56.4,19.7,20.7,53.8,5.69,105.7,maize
87.9,26.1,52.3,26.4,84.8,6.74,35.0,watermelon
70.2,51.9,41.3,29.8,86.4,7.12,170.6,jute
125.5,83.1,58.2,25.7,75.9,6.25,112.4,banana
85.2,57.6,44.5,25.2,83.8,7.3,135.7,jute
38.2,62.0,72.9,17.9,14.0,7.44,84.0,chickpea
20.6,7.9,11.4,18.3,94.9,7.11,80.3,orange
122.9,64.5,23.0,26.5,73.8,7.11,118.4,cotton
15.0,126.2,201.7,22.7,77.7,6.21,48.7,grapes
25.8,19.6,17.7,19.2,96.0,6.61,104.7,orange
21.4,134.2,204.9,24.1,80.1,5.8,40.9,grapes
19.6,20.0,14.5,24.0,91.4,6.65,103.4,orange
63.7,35.4,15.1,22.5,68.3,6.01,101.7,maize
58.4,48.0,32.4,24.3,84.3,6.81,177.4,jute
39.4,64.9,72.3,21.0,14.0,7.21,20.9,chickpea
94.0,4.8,76.0,23.5,88.9,6.5,36.4,watermelon
70.2,49.0,36.7,24.8,85.5,5.74,190.8,rice
97.1,61.8,18.8,27.0,67.6,6.82,59.5,cotton
28.1,31.9,33.2,31.6,41.0,6.15,112.1,mango
28.8,71.5,87.0,20.3,16.2,7.27,90.7,chickpea
92.4,16.9,53.7,27.2,86.6,6.07,48.5,watermelon
19.3,136.8,173.4,25.9,93.8,6.61,91.8,grapes
23.8,125.3,196.3,23.1,74.9,5.83,76.5,grapes
33.3,30.4,34.5,29.3,46.3,5.95,100.7,mango
96.3,32.5,37.8,25.3,80.1,5.95,177.6,rice
19.1,54.8,13.7,21.6,70.7,7.31,56.5,lentil
79.3,8.6,52.9,24.6,87.5,5.98,55.1,watermelon
19.2,79.8,27.0,25.3,65.0,6.65,59.3,lentil
17.1,118.7,205.0,20.1,91.0,5.69,86.4,grapes
89.6,44.8,24.2,26.4,56.5,6.48,97.4,maize
111.6,25.7,53.0,24.4,83.4,6.24,41.2,watermelon
45.9,49.0,82.1,24.8,14.0,8.46,58.1,chickpea
19.9,110.3,205.0,21.3,90.3,6.06,68.0,grapes
12.6,145.0,196.9,21.9,71.7,5.97,85.1,grapes
42.1,67.1,85.1,16.1,15.2,6.37,96.9,chickpea
100.5,23.6,25.6,22.3,61.7,6.26,196.3,coffee
92.0,32.6,19.9,21.5,70.9,7.51,77.7,maize
84.1,58.7,17.3,26.6,69.6,7.79,85.7,cotton
10.3,36.5,29.2,31.5,39.9,5.29,72.8,mango
24.3,73.0,19.2,20.1,65.3,6.91,37.6,lentil
103.1,33.2,29.6,20.8,73.2,6.06,57.2,maize
28.3,12.0,22.1,32.7,57.0,5.66,70.1,mango
77.2,51.3,26.2,24.5,77.9,6.54,229.7,rice
118.0,48.2,23.9,34.7,61.7,7.55,115.3,cotton
116.9,40.4,23.2,26.7,81.9,6.44,126.7,cotton
47.9,55.9,88.3,15.8,14.0,7.27,108.1,chickpea
80.9,70.4,38.7,27.5,70.9,6.65,183.9,jute
20.8,67.3,11.1,22.6,76.2,6.83,50.7,lentil
55.7,47.1,30.7,25.0,75.9,6.57,163.8,jute
88.6,46.5,42.5,27.7,76.2,6.78,229.0,rice
2.9,70.1,14.9,18.5,68.3,6.29,37.6,lentil
100.6,18.0,31.1,27.0,55.3,6.67,170.3,coffee
28.4,20.8,35.8,32.7,49.5,5.8,102.5,mango
16.9,115.3,196.5,22.3,81.5,6.31,72.5,grapes
42.9,57.2,84.5,16.4,14.0,7.29,59.5,chickpea
99.9,10.0,65.1,23.1,90.4,7.38,61.9,watermelon
103.9,86.6,34.4,27.8,71.1,6.03,119.7,banana
13.4,40.3,16.7,30.0,43.9,6.0,99.5,mango
108.5,62.6,42.3,27.6,77.0,6.51,97.0,banana
15.2,143.8,193.8,24.0,80.8,5.81,73.1,grapes
116.7,24.3,23.8,22.3,61.2,6.57,138.4,coffee
73.0,52.1,43.9,28.8,78.2,6.39,101.6,jute
111.7,28.6,48.7,23.4,68.1,6.49,145.9,coffee
81.1,61.5,32.1,26.1,71.7,6.59,197.2,jute
62.9,28.9,49.7,28.4,80.2,7.26,232.4,rice
109.3,81.6,66.7,25.5,74.7,6.23,96.1,banana
78.9,24.5,56.5,28.5,74.0,6.24,51.1,watermelon
95.5,27.1,17.3,25.3,60.5,6.79,192.4,coffee
8.7,70.6,12.3,25.0,73.3,6.74,41.3,lentil
13.2,108.9,182.8,20.3,75.2,6.23,32.8,grapes
12.0,86.4,23.9,17.3,58.6,7.26,38.6,lentil
27.9,20.1,11.4,23.0,87.7,5.95,175.7,orange
84.7,49.8,46.1,22.9,77.6,6.56,181.0,jute
82.1,38.8,33.4,23.5,76.4,6.47,128.3,maize
81.9,46.8,27.6,29.0,66.9,5.26,129.3,maize
38.5,58.9,86.8,15.7,23.1,7.09,64.7,chickpea
95.4,46.7,10.6,21.3,66.9,7.67,93.6,maize
58.6,42.0,22.5,23.6,60.0,6.18,51.6,maize
99.1,19.4,74.5,30.4,86.6,6.56,38.3,watermelon
88.2,87.3,40.8,28.4,76.4,6.31,93.4,banana
14.8,27.5,17.2,28.3,72.1,6.32,121.1,mango
13.6,56.4,23.8,17.7,64.6,7.05,32.9,lentil
28.3,108.4,199.3,28.2,74.9,5.89,82.2,grapes
70.2,45.2,49.7,24.0,82.4,6.36,190.6,jute
140.0,56.7,23.1,25.8,85.3,6.2,83.9,cotton
11.8,41.0,26.6,29.5,58.0,6.64,105.8,mango
17.0,133.4,205.0,23.3,92.1,6.47,87.8,grapes
15.0,30.3,17.7,33.1,53.0,6.19,114.9,mango
81.7,73.6,57.9,27.0,75.6,6.38,131.8,banana
57.0,51.5,52.8,22.2,83.0,6.12,246.8,rice
16.0,26.5,15.9,28.0,42.0,5.16,74.5,mango
45.5,63.9,76.4,20.3,21.1,6.6,107.6,chickpea
35.6,55.3,84.5,25.1,14.0,7.52,87.7,chickpea
17.9,125.3,205.0,21.1,78.9,5.32,72.9,grapes
57.0,48.5,23.0,21.0,66.0,6.07,55.0,maize
89.4,13.0,37.7,26.6,82.0,6.25,54.0,watermelon
119.0,31.1,25.2,25.3,72.3,6.51,75.4,cotton
18.6,24.5,43.5,26.5,46.4,6.31,88.5,mango
22.7,121.3,205.0,24.3,69.5,5.95,67.0,grapes
19.8,27.8,27.0,36.0,50.9,5.73,67.3,mango
69.8,25.0,16.2,23.5,64.8,6.17,59.9,maize
125.0,14.8,36.9,23.7,47.2,6.89,198.2,coffee
19.6,125.9,191.5,22.0,87.1,6.17,65.5,grapes
42.7,56.3,102.7,20.0,14.0,7.86,20.0,chickpea
92.9,53.1,48.4,28.1,75.8,6.92,173.1,jute
103.8,12.1,44.3,25.3,87.9,6.32,53.4,watermelon
72.2,33.9,9.5,23.7,53.4,5.58,66.3,maize
68.5,33.2,28.2,26.0,80.4,7.13,177.6,jute
96.4,27.2,10.7,29.2,61.3,7.8,71.3,cotton
83.1,19.0,17.7,26.4,69.8,7.53,166.4,coffee
100.4,12.4,42.0,23.2,88.1,6.83,55.3,watermelon
82.7,49.6,42.5,26.8,80.0,6.6,196.9,jute
11.8,39.2,44.7,31.6,50.6,5.67,71.7,mango
74.4,50.2,41.2,20.6,88.3,6.82,177.9,rice
107.7,43.3,15.3,23.3,68.7,6.24,105.6,maize
82.4,44.1,19.4,20.4,78.0,5.66,96.2,maize
39.5,64.5,92.5,23.2,19.8,7.4,69.8,chickpea
84.8,46.2,35.1,26.5,82.2,5.98,193.0,rice
19.6,17.1,8.6,26.1,93.8,6.36,129.1,orange
69.1,51.0,45.4,20.7,76.9,6.87,235.9,rice
11.4,118.4,205.0,26.6,70.9,5.84,66.8,grapes
10.5,129.7,192.8,26.1,84.6,5.93,60.8,grapes
99.0,66.9,42.4,25.1,87.8,5.97,136.5,banana
100.8,15.1,37.2,28.1,83.2,7.02,35.0,watermelon
83.6,45.2,47.6,27.8,83.4,6.55,180.6,rice
108.9,81.3,69.2,27.6,83.9,5.78,93.9,banana
14.5,142.8,205.0,24.4,88.7,6.19,68.1,grapes
29.9,53.3,16.1,19.7,65.9,7.19,51.6,lentil
107.1,103.7,50.9,26.2,77.0,6.11,108.0,banana
110.8,51.6,39.1,24.9,54.5,6.31,165.6,coffee
18.2,145.0,205.0,26.8,77.0,5.76,83.3,grapes
24.7,126.7,187.1,22.6,78.4,5.65,53.0,grapes
44.8,67.1,72.0,20.8,14.0,7.01,80.3,chickpea
79.1,25.6,26.7,26.0,50.8,7.6,185.9,coffee
18.2,50.6,14.9,19.4,67.5,6.58,36.3,lentil
101.2,75.4,57.5,25.7,80.3,5.81,90.6,banana
24.8,62.9,16.4,17.3,76.6,6.65,57.7,lentil
43.7,30.9,84.3,20.0,22.3,8.07,76.7,chickpea
83.9,50.9,29.2,24.1,80.2,6.5,235.2,rice
74.9,49.2,27.1,25.9,79.4,6.5,176.7,jute
15.4,51.1,17.4,16.6,63.8,6.86,48.0,lentil
95.1,22.0,60.9,28.1,93.0,6.97,41.3,watermelon
14.7,57.6,25.7,20.4,68.6,6.51,43.1,lentil
10.7,20.7,11.8,24.2,98.8,7.5,94.9,orange
67.5,45.5,35.9,25.1,75.5,7.16,198.5,jute
38.5,54.0,92.3,15.8,16.8,6.24,81.2,chickpea
24.0,125.0,205.0,24.8,87.1,5.58,64.8,grapes
58.2,39.9,35.0,25.8,80.4,6.08,194.6,jute
44.1,51.4,67.9,20.5,20.4,7.04,99.7,chickpea
14.0,67.4,22.5,15.8,66.6,7.06,35.8,lentil
21.1,62.0,18.3,25.5,68.4,6.74,56.0,lentil
12.9,131.7,201.1,24.0,74.9,6.12,81.3,grapes
101.3,40.9,42.6,27.8,57.8,5.64,179.9,coffee
98.5,30.6,17.0,19.8,78.0,6.59,238.3,rice
65.6,34.8,42.1,23.6,91.0,5.7,192.4,rice
93.3,20.4,39.7,23.1,57.0,7.6,160.9,coffee
103.2,10.8,66.8,26.9,81.7,6.84,38.6,watermelon
18.1,18.5,18.3,26.3,86.9,6.01,85.8,orange
21.1,29.0,33.5,31.2,47.6,6.47,90.7,mango
113.7,24.1,40.7,25.2,90.9,5.55,51.3,watermelon
39.6,52.9,83.4,22.5,21.3,6.98,45.0,chickpea
20.0,139.1,196.0,25.0,84.7,6.07,45.6,grapes
23.8,17.7,36.6,32.8,42.0,6.01,101.5,mango
22.3,11.2,9.4,24.9,88.5,7.26,124.9,orange
130.7,42.0,21.8,23.5,69.9,7.35,56.0,cotton
73.6,30.5,10.5,24.6,65.8,6.87,85.4,maize
103.6,6.8,23.1,26.7,61.9,6.72,166.1,coffee
27.9,45.5,21.2,21.8,54.3,7.37,42.0,lentil
38.1,61.1,58.7,19.4,26.2,7.1,65.5,chickpea
102.5,39.6,25.7,24.6,51.4,6.7,84.0,maize
51.8,64.4,66.6,23.8,15.4,7.36,67.2,chickpea
22.0,57.0,21.8,18.0,67.3,7.46,21.4,lentil
94.0,32.6,40.7,25.1,60.4,6.43,134.3,coffee
80.7,43.9,35.6,25.1,79.1,6.49,256.0,rice
35.1,64.6,63.1,16.7,15.9,7.96,84.6,chickpea
97.4,73.4,67.3,28.8,69.1,5.04,134.1,banana
52.1,55.9,64.2,22.2,18.9,6.52,82.9,chickpea
50.4,76.6,103.2,12.3,15.5,7.18,54.2,chickpea
86.3,38.7,12.8,23.0,66.3,5.52,81.2,maize
25.5,18.0,14.4,21.2,93.6,6.5,92.0,orange
68.6,55.6,40.3,29.4,87.7,7.01,210.5,jute
107.2,80.1,49.7,27.3,78.9,6.06,139.4,banana
91.7,52.7,28.0,24.6,85.2,6.25,218.3,rice
100.7,28.8,20.9,26.9,61.5,5.59,185.6,coffee
108.1,81.2,39.4,28.2,66.4,6.02,122.6,banana
107.5,56.2,23.1,21.5,64.8,6.61,34.9,maize
24.9,10.6,13.4,25.2,96.7,7.05,142.7,orange
96.0,48.8,19.2,29.3,71.4,7.44,101.8,cotton
17.9,23.0,20.7,32.8,55.3,5.31,110.5,mango
93.9,43.9,48.7,31.4,83.0,5.84,223.6,rice
95.7,84.0,56.7,29.0,75.0,6.12,111.1,banana
105.2,13.4,43.4,26.2,87.0,6.37,62.0,watermelon
12.6,63.0,26.0,18.2,65.2,7.58,55.1,lentil
96.3,41.7,28.4,22.6,69.1,5.91,62.7,maize
36.7,47.1,85.3,20.0,14.0,7.73,69.1,chickpea
95.7,12.7,41.6,30.5,86.9,6.81,31.3,watermelon
77.4,43.1,33.2,28.0,84.8,7.08,216.7,jute
26.9,74.9,25.0,22.1,59.5,6.21,49.0,lentil
113.6,35.4,14.0,26.0,77.2,6.8,99.1,cotton
14.4,119.9,188.7,23.8,73.4,5.53,70.5,grapes
97.6,68.1,60.6,23.0,79.4,6.61,184.4,rice
16.6,33.4,19.1,33.8,46.5,5.86,100.4,mango
94.9,22.9,21.8,26.4,52.4,6.93,142.9,coffee
102.2,39.2,11.7,22.9,54.3,6.39,73.8,maize
26.9,64.7,85.0,18.9,14.1,7.06,92.8,chickpea
90.8,13.7,65.1,27.5,84.5,6.76,37.4,watermelon
116.1,84.7,49.3,30.3,76.1,5.87,106.3,banana
73.8,32.6,42.0,26.2,87.2,7.23,248.7,rice
100.8,40.0,37.4,28.3,85.7,7.44,150.5,jute
77.4,90.5,54.6,28.1,68.1,5.89,84.5,banana
95.4,22.5,48.8,26.9,93.0,6.81,41.8,watermelon
80.0,59.0,38.0,25.9,79.0,6.39,161.4,jute
102.9,37.6,13.4,26.9,64.8,6.74,72.6,maize
77.6,49.9,41.7,26.3,73.6,6.82,212.8,jute
19.1,65.3,25.3,19.0,78.3,7.0,43.3,lentil
15.3,136.5,166.6,27.2,86.5,5.89,68.9,grapes
65.1,39.7,38.2,24.2,82.2,6.64,141.3,jute
98.7,23.6,33.3,25.0,69.4,7.19,139.9,coffee
133.5,52.6,17.1,27.6,69.9,7.01,85.3,cotton
37.1,60.3,79.6,22.3,14.0,7.39,91.0,chickpea
17.6,34.8,33.7,30.6,61.4,5.77,66.6,mango
96.2,35.4,41.4,26.1,82.6,6.61,176.8,jute
94.0,52.9,36.3,24.4,89.3,6.5,168.8,jute
49.4,48.0,91.9,19.1,16.8,6.91,94.2,chickpea
81.1,45.7,70.8,27.3,81.9,7.0,225.8,rice
88.9,34.5,51.6,24.6,82.5,6.92,169.9,jute
79.8,45.5,37.3,24.6,77.0,6.56,217.4,rice
97.5,80.8,46.3,26.0,82.9,6.37,83.6,banana
124.9,50.5,19.3,26.7,73.9,6.95,69.9,cotton
83.8,40.8,35.9,27.0,82.5,6.26,193.0,jute
88.0,25.9,14.2,23.4,54.3,6.39,111.9,maize
115.8,35.5,13.5,29.4,73.4,6.49,125.1,maize
15.4,128.1,173.7,23.8,77.7,5.67,83.5,grapes
135.1,35.9,19.8,27.5,73.6,6.77,54.6,cotton
99.5,57.2,43.6,25.9,75.7,7.46,146.3,jute
113.1,49.2,15.2,25.1,69.9,6.29,87.7,cotton
83.4,47.7,30.9,23.8,84.0,6.71,241.8,jute
18.9,8.7,6.4,23.1,89.3,6.92,113.6,orange
78.2,37.6,22.7,28.9,86.9,5.79,116.1,maize
81.2,37.5,25.4,26.8,62.0,5.63,121.9,maize
100.1,27.3,27.1,24.7,56.7,7.13,223.3,coffee
31.0,65.3,31.0,23.9,65.1,7.2,58.5,lentil
16.3,72.6,26.8,19.2,59.6,7.77,44.1,lentil
92.0,23.6,42.4,27.1,84.3,6.77,44.9,watermelon
95.0,85.7,44.4,26.5,78.5,6.3,121.2,banana
70.1,52.7,50.7,24.5,79.7,6.44,164.0,jute
140.0,39.3,21.5,26.4,76.8,6.15,98.8,cotton
18.5,17.8,7.6,23.7,85.9,6.01,102.0,orange
18.2,8.6,4.7,23.1,99.1,7.01,136.4,orange
76.8,90.2,52.1,30.2,78.5,5.98,76.5,banana
2.7,72.4,11.5,18.9,57.3,7.24,37.4,lentil
43.7,48.8,88.8,18.8,22.1,6.84,36.8,chickpea
21.2,28.5,33.1,28.4,46.8,6.69,99.8,mango
91.3,55.2,18.7,27.6,52.8,6.93,50.9,maize
88.4,86.1,49.7,25.0,82.3,6.61,86.4,banana
101.1,25.6,20.5,24.8,56.8,6.78,109.7,maize
86.5,79.5,38.3,28.0,76.7,6.02,148.7,banana
39.5,66.1,68.0,22.9,14.0,6.76,71.8,chickpea
34.9,73.3,68.2,17.8,16.6,7.37,46.9,chickpea
101.2,94.0,45.6,27.0,86.2,6.73,119.2,banana
26.0,80.9,14.2,19.5,66.5,6.45,32.1,lentil
32.3,73.3,74.4,15.1,14.0,6.37,82.2,chickpea
19.8,7.2,6.5,19.7,92.4,7.22,109.3,orange
10.3,16.5,10.1,17.9,79.7,6.87,122.2,orange
27.8,71.2,17.8,18.9,65.1,6.27,67.7,lentil
23.5,145.0,205.0,24.0,70.7,6.78,89.6,grapes
89.7,53.5,24.9,25.5,71.4,6.7,81.6,cotton
13.9,19.9,17.5,21.1,89.2,6.31,126.5,orange
33.3,56.6,72.7,16.6,17.1,7.01,131.3,chickpea
92.2,79.6,46.9,30.1,77.7,6.31,46.1,banana
89.2,48.4,40.5,22.0,81.2,7.02,166.2,jute
20.1,145.0,202.4,27.4,76.6,6.15,97.1,grapes
82.4,45.5,42.0,25.9,81.0,6.49,136.5,jute
11.9,113.3,192.2,24.2,81.6,6.21,45.7,grapes
17.8,119.9,180.7,24.2,89.6,6.32,73.6,grapes
104.4,40.9,25.3,23.7,54.3,6.92,164.1,coffee
71.4,41.7,46.7,24.3,84.5,6.75,183.3,rice
88.0,61.8,46.4,25.1,77.5,7.07,188.0,jute
20.6,55.2,9.8,21.7,54.9,7.48,45.7,lentil
108.1,41.3,19.5,27.1,55.4,5.57,98.3,maize
12.6,119.3,205.0,26.1,89.7,6.1,50.0,grapes
31.0,68.9,88.6,22.7,16.9,7.97,66.7,chickpea
21.2,4.9,11.6,22.2,90.6,6.76,63.7,orange
23.7,9.6,11.0,25.1,92.2,7.82,136.3,orange
15.7,24.0,26.9,29.3,38.0,5.75,20.0,mango
114.2,11.5,37.0,24.8,83.5,6.33,38.4,watermelon
69.9,38.7,33.2,24.5,76.4,6.19,242.5,jute
12.7,30.1,30.4,35.7,64.3,5.63,76.5,mango
55.2,56.6,90.1,20.7,14.3,7.7,85.3,chickpea
97.4,26.7,22.5,29.6,55.1,7.16,116.2,coffee
13.6,123.1,197.3,20.8,68.5,6.44,51.6,grapes
98.6,46.7,24.2,19.9,56.8,6.23,66.8,maize
16.7,16.8,15.1,21.5,91.0,6.65,92.8,orange
47.0,60.4,94.0,25.3,20.0,7.22,72.8,chickpea
72.8,37.7,28.2,20.8,75.3,6.3,203.3,rice
97.0,80.6,50.3,26.6,81.9,6.51,86.7,banana
13.2,15.6,15.4,23.7,92.7,6.74,118.3,orange
119.3,44.0,20.8,25.2,69.1,6.76,125.7,cotton
12.0,120.6,193.3,21.9,91.5,6.48,63.0,grapes
20.7,64.6,12.9,23.8,64.0,7.15,37.7,lentil
107.1,71.8,50.1,29.8,84.7,6.25,97.5,banana
12.9,145.0,196.6,25.0,84.3,6.54,64.6,grapes
11.8,58.4,16.6,19.7,65.8,6.93,35.4,lentil
75.4,45.0,50.7,29.6,78.6,6.6,161.0,jute
21.3,125.8,186.9,24.4,80.5,5.78,68.3,grapes
25.9,92.8,181.1,29.7,91.3,6.22,104.0,grapes
96.3,92.5,46.6,29.0,78.8,5.42,84.9,banana
76.0,30.7,23.7,23.3,44.8,7.41,26.8,maize
47.5,47.6,80.8,20.9,16.5,7.16,85.5,chickpea
14.1,38.0,29.0,37.0,53.1,6.38,64.5,mango
20.7,59.9,30.0,14.6,78.6,7.63,51.3,lentil
140.0,33.1,18.6,29.5,63.0,6.58,124.2,cotton
105.4,36.4,36.6,29.6,71.5,7.22,147.8,coffee
92.8,38.5,32.8,27.3,47.0,6.0,163.3,coffee
71.8,33.5,14.6,24.1,67.5,7.14,78.4,maize
91.6,40.1,54.8,27.9,84.5,6.39,294.8,rice
22.3,13.0,7.5,25.3,95.3,6.31,108.6,orange
77.8,33.2,43.6,25.6,76.5,6.37,156.8,jute
91.7,52.9,40.0,24.1,79.3,5.81,175.0,jute
108.6,24.4,38.8,26.9,54.1,6.59,154.9,coffee
66.6,38.8,24.9,23.6,65.2,6.57,67.6,maize
17.4,16.8,13.2,23.3,88.0,6.65,133.1,orange
105.9,49.1,14.8,26.0,75.2,5.9,75.2,cotton
96.1,31.4,31.6,22.6,69.8,7.88,138.0,coffee
108.3,16.8,46.5,27.8,88.1,6.35,38.5,watermelon
35.4,61.6,81.8,22.2,22.5,6.44,70.1,chickpea
19.5,85.1,20.4,21.4,65.4,7.17,68.8,lentil
17.1,12.7,11.1,23.4,93.7,6.63,109.0,orange
14.2,20.8,8.3,22.5,88.5,7.18,89.3,orange
14.9,76.9,12.5,21.5,58.8,6.34,48.8,lentil
11.1,56.8,17.9,17.7,67.2,7.25,52.4,lentil
89.2,52.5,26.8,23.6,83.2,6.32,175.7,jute
96.7,43.5,24.2,25.1,70.4,6.49,99.7,maize
16.7,26.0,21.4,35.2,53.3,6.06,90.4,mango
13.3,60.5,27.1,16.8,66.2,6.81,58.5,lentil
29.2,39.6,30.7,30.7,60.2,6.53,102.8,mango
18.9,59.6,12.7,22.3,61.7,6.83,41.1,lentil
100.4,111.2,60.3,25.5,79.7,5.62,114.0,banana
83.2,39.1,16.7,22.5,65.4,6.36,37.5,maize
14.2,18.5,4.3,25.1,94.2,6.6,94.0,orange
41.8,52.2,90.6,17.3,14.0,6.76,78.9,chickpea
103.6,55.7,25.6,26.9,66.8,6.64,77.1,cotton
89.9,37.3,17.9,21.1,72.6,6.29,213.7,rice
22.9,29.3,30.2,32.6,45.4,5.29,120.4,mango
107.2,60.9,64.8,27.9,74.9,5.69,56.2,banana
56.5,46.9,26.2,25.2,77.0,5.81,203.4,rice
63.2,65.9,45.7,26.9,78.5,5.94,234.6,rice
79.0,35.7,30.7,27.9,50.7,6.35,263.2,coffee
49.6,42.1,22.1,24.6,61.3,6.62,89.2,maize
75.7,88.3,51.7,29.3,81.5,6.38,79.9,banana
19.7,51.0,16.6,20.1,55.8,7.31,37.7,lentil
82.4,53.5,39.4,21.8,80.9,6.82,268.9,rice
31.2,59.1,71.0,19.5,17.9,7.2,56.0,chickpea
17.9,80.7,24.0,16.7,70.6,6.43,49.9,lentil
85.4,20.6,45.0,24.8,90.9,6.35,54.0,watermelon
58.5,36.5,23.0,24.1,61.4,5.74,132.1,maize
94.4,20.4,39.2,24.9,85.9,6.8,46.2,watermelon
82.1,56.8,50.4,22.3,77.0,5.76,209.0,rice
29.8,65.5,21.9,18.4,63.0,7.07,51.7,lentil
18.4,70.4,16.7,17.1,60.7,7.02,42.8,lentil
96.6,39.5,15.9,22.2,75.0,7.05,98.8,cotton
81.6,47.4,13.6,23.9,65.7,6.38,63.5,maize
17.1,9.4,11.9,26.2,95.6,7.23,102.0,orange
110.0,30.0,26.2,16.7,47.8,5.82,111.2,maize
21.3,117.2,205.0,22.9,78.9,5.63,75.4,grapes
86.1,48.7,45.9,26.0,80.2,7.08,191.6,jute
41.6,65.2,72.7,15.8,15.6,6.78,68.1,chickpea
18.7,21.3,26.4,36.0,56.5,6.22,83.0,mango
27.0,38.7,27.6,35.0,52.5,5.77,84.0,mango
84.7,52.6,54.2,25.2,85.1,6.97,185.4,jute
28.2,16.0,10.0,29.0,96.8,6.37,104.1,orange
106.2,46.8,37.0,27.2,68.8,6.6,180.8,coffee
24.3,10.3,18.0,21.8,94.0,6.68,116.7,orange
99.7,86.5,57.6,22.7,72.7,5.88,109.6,banana
27.6,20.7,12.0,19.0,89.4,6.6,120.0,orange
27.1,24.8,31.5,30.8,56.0,6.2,71.9,mango
31.2,32.0,24.6,27.7,43.6,6.06,98.9,mango
111.3,25.5,23.1,27.0,60.7,6.8,150.2,coffee
13.6,37.0,24.5,25.8,45.7,6.13,92.7,mango
31.3,56.8,23.1,24.6,75.1,7.17,43.4,lentil
111.9,76.5,49.0,26.1,83.4,6.04,98.1,banana
29.1,46.8,94.5,20.0,14.0,7.34,65.3,chickpea
108.2,83.1,41.8,27.1,73.0,5.47,75.8,banana
77.2,63.9,44.7,27.2,79.3,6.97,117.5,jute
97.0,66.9,30.5,23.3,78.5,6.73,178.3,jute
89.9,78.8,34.1,29.9,85.0,5.53,78.5,banana
97.8,87.2,56.2,27.5,86.1,6.23,127.9,banana
19.1,73.9,16.0,17.9,73.1,6.46,41.9,lentil
